% From /home/prieur/tex/papers/carqui07b_AmVIII/submit/tab_orbitals.tex ix=11 i
% v sin i  a sin i   e      a(1-e)sini
11.700000 2.790000 0.010000 2.762100
29.100000 8.440000 0.521000 4.042759
12.800000 3.945000 0.028000 3.834540
9.900000 15.710000 0.000000 15.710000
14.100000 9.680000 0.059000 9.108880
10.000000 1.491000 0.000000 1.491000
22.100000 173.699997 0.613000 67.221901
20.000000 36.599998 0.112000 32.500797
28.600000 1.850000 0.607000 0.727050
25.000000 2.850000 0.000000 2.850000
21.000000 2.810000 0.122000 2.467180
24.000000 11.430000 0.400000 6.858000
25.200001 0.780000 0.000000 0.780000
27.299999 5.425000 0.418000 3.157350
12.600000 2.030000 0.000000 2.030000
14.500000 4.788000 0.061000 4.495932
25.299999 2.347000 0.014000 2.314142
26.200001 0.730000 0.000000 0.730000
10.600000 8.298000 0.000000 8.298000
5.600000 3.290000 0.028000 3.197880
8.000000 6.020000 0.000000 6.020000
20.500000 12.240000 0.135000 10.587600
10.600000 0.837400 0.000000 0.837400
23.799999 54.400002 0.675000 17.680000
11.000000 5.113000 0.071000 4.749977
24.400000 4.277000 0.000000 4.277000
11.000000 4.620000 0.319000 3.146220
6.600000 3.730000 0.213000 2.935510
13.100000 2.114000 0.000000 2.114000
7.300000 251.000000 0.367000 158.882996
17.400000 0.288000 0.000000 0.288000
8.800000 1.600000 0.205000 1.272000
8.000000 3.060000 0.000000 3.060000
11.400000 5.720000 0.370000 3.603600
9.600000 6.200000 0.000000 6.200000
13.500000 0.323000 0.000000 0.323000
27.299999 8.080000 0.867000 1.074640
11.400000 1.263000 0.000000 1.263000
21.299999 32.700001 0.197000 26.258101
38.799999 8.720000 0.107000 7.786960
11.900000 1.400000 0.214000 1.100400
19.100000 3.360000 0.000000 3.360000
18.900000 2.018000 0.000000 2.018000
